Id,region_code,region_name,TauxGrippe,week_year,tend,dd,ff,t,td,u,vv,n,nbas,hbas,pres,tn12,tx12,tminsol,rafper,per,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,date,saison
5523,42,ALSACE,66,201152,-41.25,207.32142857142856,3.5,279.1928571428571,276.5482142857143,83.58928571428571,29889.285714285714,99.2156862745098,4.099766940250969,820.0,100757.67857142857,276.9642857142857,280.70714285714286,275.8642857142857,6.548214285714286,-10.0,0.0,0.0,-45.0,0.0285714285714285,0.1035714285714285,0.1999999999999999,0.4285714285714285,0.8857142857142858,2011-12-26,Hiver
5524,72,AQUITAINE,24,201152,-36.21103896103896,187.2711038961039,2.71538961038961,280.4820292207792,278.98266233766236,90.81883116883115,16082.775974025975,82.97430058555628,4.431818181818182,1014.6419098143236,102451.9025974026,276.84999999999997,283.1142857142857,274.86428571428564,5.004107142857142,-10.0,0.0,0.0,-44.42307692307692,0.1318831168831168,0.42,0.9000000000000001,1.698351648351648,3.4452380952380945,2011-12-26,Hiver
5525,83,AUVERGNE,91,201152,-32.67857142857143,197.41071428571428,2.4848214285714283,278.3276785714286,275.70089285714283,84.20535714285714,21058.035714285714,78.0060606060606,4.911231884057971,1385.7312925170068,96003.39285714286,275.41785714285714,280.53214285714284,273.65,5.515178571428572,-10.0,0.0,0.0,-45.13636363636364,0.0803571428571428,0.2283116883116883,0.4071428571428571,0.8862637362637362,1.9785714285714289,2011-12-26,Hiver
5526,25,BASSE-NORMANDIE,49,201152,-51.38852813852814,224.66991341991343,6.176558441558441,281.8189718614719,279.8415476190476,87.82489177489178,14645.357142857143,82.48551587301587,5.797105672105673,1245.9962061747776,101597.46212121211,279.903663003663,283.3501831501831,276.5071428571428,9.928647186147186,-10.0,0.0,0.0,-46.32352941176471,0.1321212121212121,0.3633549783549784,0.4809523809523809,1.3073260073260071,1.2,2011-12-26,Hiver
5527,26,BOURGOGNE,33,201152,-40.0,199.82142857142856,3.105357142857143,277.8517857142857,276.87678571428575,93.66071428571428,17941.071428571428,99.3921568627451,4.099766940250969,503.6842105263158,100036.78571428572,275.7214285714286,279.0857142857143,274.57857142857137,5.526785714285714,-10.0,0.0,0.0,-45.0,0.0999999999999999,0.2821428571428571,0.7571428571428571,1.1857142857142855,2.2428571428571424,2011-12-26,Hiver
5528,53,BRETAGNE,50,201152,-47.465986394557824,230.9375,6.013392857142858,282.7785714285714,280.50267857142853,86.38392857142857,16143.48214285714,87.18563311688311,6.394486818296342,820.5914034273997,101945.17857142857,281.03956043956043,283.9375,279.22142857142853,10.802678571428572,-10.0,0.0,0.0,-45.38461538461539,0.1761332417582417,0.4393106893106893,0.7220238095238095,1.6304945054945057,1.795238095238095,2011-12-26,Hiver
5529,24,CENTRE,30,201152,-44.28571428571429,194.91071428571428,3.9830357142857142,280.04375,279.0080357142857,93.36607142857144,12324.107142857143,91.44387298747765,6.731829573934837,552.8947368421052,101128.92857142858,278.23571428571427,281.4,277.43571428571425,7.245535714285714,-10.0,0.0,0.0,-46.5,0.0999999999999999,0.3035714285714286,0.8857142857142857,1.3071428571428572,2.442857142857143,2011-12-26,Hiver
5530,21,CHAMPAGNE-ARDENNE,13,201152,-43.92857142857143,191.6071428571429,4.635714285714286,279.73035714285714,278.0142857142857,89.01785714285714,12942.857142857143,81.85714285714286,5.0,568.4615384615385,101228.39285714286,277.50714285714287,281.45,276.2928571428571,7.8875,-10.0,0.0,0.0,-45.0,0.0857142857142857,0.1999999999999999,0.4428571428571429,0.7999999999999999,1.657142857142857,2011-12-26,Hiver
5531,94,CORSE,19,201152,-14.017857142857142,147.32142857142856,2.844642857142857,281.55803571428567,276.20446428571427,70.63392857142857,31589.285714285717,33.85606060606061,2.537337662337662,1945.037162162162,102318.83928571428,277.24285714285713,285.025,274.36428571428564,4.716964285714285,-10.0,0.0,0.0,-44.01934235976789,0.0053571428571428,0.0232142857142857,0.0714285714285714,0.0928571428571428,0.1714285714285714,2011-12-26,Hiver
5532,43,FRANCHE-COMTE,20,201152,-38.57142857142857,196.07142857142856,2.85,277.425,275.1732142857143,86.0,17473.214285714286,77.54716981132076,4.439024390243903,1109.1666666666667,99403.21428571428,274.5857142857143,279.6928571428571,273.15,5.95,-10.0,0.0,0.0,-45.0,0.1214285714285714,0.2821428571428571,0.5571428571428572,1.1428571428571428,2.3000000000000003,2011-12-26,Hiver
