Id,region_code,region_name,TauxGrippe,week_year,date,saison,tminsol,nbas,n,td,ff,t,u,vv
5523,42,ALSACE,66,201152,2011-12-26,Hiver,275.8642857142857,4.099766940250969,99.2156862745098,276.5482142857143,3.5,279.1928571428571,83.58928571428571,29889.285714285714
5524,72,AQUITAINE,24,201152,2011-12-26,Hiver,274.86428571428564,4.431818181818182,82.97430058555628,278.98266233766236,2.71538961038961,280.4820292207792,90.81883116883115,16082.775974025975
5525,83,AUVERGNE,91,201152,2011-12-26,Hiver,273.65,4.911231884057971,78.0060606060606,275.70089285714283,2.4848214285714283,278.3276785714286,84.20535714285714,21058.035714285714
5526,25,BASSE-NORMANDIE,49,201152,2011-12-26,Hiver,276.5071428571428,5.797105672105673,82.48551587301587,279.8415476190476,6.176558441558441,281.8189718614719,87.82489177489178,14645.357142857143
5527,26,BOURGOGNE,33,201152,2011-12-26,Hiver,274.57857142857137,4.099766940250969,99.3921568627451,276.87678571428575,3.105357142857143,277.8517857142857,93.66071428571428,17941.071428571428
5528,53,BRETAGNE,50,201152,2011-12-26,Hiver,279.22142857142853,6.394486818296342,87.18563311688311,280.50267857142853,6.013392857142858,282.7785714285714,86.38392857142857,16143.48214285714
5529,24,CENTRE,30,201152,2011-12-26,Hiver,277.43571428571425,6.731829573934837,91.44387298747765,279.0080357142857,3.9830357142857142,280.04375,93.36607142857144,12324.107142857143
5530,21,CHAMPAGNE-ARDENNE,13,201152,2011-12-26,Hiver,276.2928571428571,5.0,81.85714285714286,278.0142857142857,4.635714285714286,279.73035714285714,89.01785714285714,12942.857142857143
5531,94,CORSE,19,201152,2011-12-26,Hiver,274.36428571428564,2.537337662337662,33.85606060606061,276.20446428571427,2.844642857142857,281.55803571428567,70.63392857142857,31589.285714285717
5532,43,FRANCHE-COMTE,20,201152,2011-12-26,Hiver,273.15,4.439024390243903,77.54716981132076,275.1732142857143,2.85,277.425,86.0,17473.214285714286
5533,23,HAUTE-NORMANDIE,53,201152,2011-12-26,Hiver,275.72142857142853,6.391304347826087,89.18367346938776,279.1607142857143,4.919642857142857,280.1142857142857,93.96428571428572,17808.928571428572
5534,91,LANGUEDOC-ROUSSILLON,95,201152,2011-12-26,Hiver,276.86428571428564,1.8398617511520736,38.08700980392157,276.6598214285714,5.3375,282.68482142857147,67.86607142857143,45035.71428571428
5535,74,LIMOUSIN,108,201152,2011-12-26,Hiver,276.15,4.884615384615385,83.8695652173913,278.0875,3.294642857142857,279.7982142857143,89.78571428571429,17080.35714285714
5536,41,LORRAINE,71,201152,2011-12-26,Hiver,276.57857142857137,4.099766940250969,99.27777777777776,277.65714285714284,4.273214285714286,278.7714285714286,92.73214285714286,26853.571428571428
5537,73,MIDI-PYRENEES,23,201152,2011-12-26,Hiver,274.40714285714284,4.61484756221329,57.51763740771124,276.7089285714286,3.37,279.69,82.72857142857143,22374.378881987577
