Id,week,region_code,region_name,TauxGrippe,week_year,tend,dd,ff,t,td,u,vv,n,nbas,hbas,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,tw,raf10,rafper,per,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24
5523,201152,42,ALSACE,66,201152,-41.25,207.32142857142858,3.5,279.1928571428571,276.5482142857143,83.58928571428571,29889.285714285714,99.2156862745098,,820.0,100757.67857142857,,,,276.9642857142857,,280.70714285714286,,275.8642857142857,,13.4,6.548214285714286,-10.0,0.0,,,0.028571428571428574,0.10357142857142856,0.19999999999999998,0.42857142857142855,0.8857142857142858
5524,201152,72,AQUITAINE,24,201152,-36.21103896103896,187.2711038961039,2.71538961038961,280.4820292207792,278.98266233766236,90.81883116883117,16082.775974025975,82.97430058555628,4.431818181818182,1014.6419098143236,102451.9025974026,,,,276.84999999999997,,283.1142857142857,,274.86428571428564,,,5.004107142857142,-10.0,0.0,0.0,-44.42307692307692,0.13188311688311688,0.42000000000000004,0.9000000000000001,1.698351648351648,3.4452380952380945
5525,201152,83,AUVERGNE,91,201152,-32.67857142857143,197.41071428571428,2.4848214285714283,278.3276785714286,275.70089285714283,84.20535714285714,21058.035714285714,78.0060606060606,4.911231884057971,1385.7312925170068,96003.39285714286,85000.0,18453.454545454544,,275.41785714285714,,280.53214285714284,,273.65,,,5.515178571428572,-10.0,0.0,0.0,-45.13636363636364,0.08035714285714285,0.2283116883116883,0.40714285714285714,0.8862637362637362,1.9785714285714286
5526,201152,25,BASSE-NORMANDIE,49,201152,-51.38852813852814,224.66991341991343,6.176558441558441,281.8189718614719,279.8415476190476,87.82489177489178,14645.357142857143,82.48551587301587,5.797105672105673,1245.9962061747776,101597.46212121211,,,,279.903663003663,,283.3501831501831,,276.5071428571428,,16.68166666666667,9.928647186147186,-10.0,0.0,0.0,-46.32352941176471,0.1321212121212121,0.3633549783549784,0.48095238095238096,1.3073260073260073,1.2
5527,201152,26,BOURGOGNE,33,201152,-40.0,199.82142857142858,3.105357142857143,277.8517857142857,276.87678571428575,93.66071428571429,17941.071428571428,99.3921568627451,,503.6842105263158,100036.78571428571,,,,275.7214285714286,,279.0857142857143,,274.57857142857137,,,5.526785714285714,-10.0,0.0,,,0.09999999999999999,0.28214285714285714,0.7571428571428571,1.1857142857142857,2.2428571428571424
5528,201152,53,BRETAGNE,50,201152,-47.465986394557824,230.9375,6.013392857142858,282.7785714285714,280.50267857142853,86.38392857142857,16143.482142857141,87.18563311688311,6.394486818296342,820.5914034273997,101945.17857142857,,,,281.03956043956043,,283.9375,,279.22142857142853,,16.653125000000003,10.802678571428572,-10.0,0.0,0.0,-45.38461538461539,0.17613324175824174,0.43931068931068934,0.7220238095238095,1.6304945054945055,1.795238095238095
5529,201152,24,CENTRE,30,201152,-44.28571428571429,194.91071428571428,3.9830357142857142,280.04375,279.0080357142857,93.36607142857143,12324.107142857143,91.44387298747765,6.731829573934837,552.8947368421052,101128.92857142858,,,,278.23571428571427,,281.4,,277.43571428571425,,13.65,7.245535714285714,-10.0,0.0,0.0,-46.5,0.09999999999999999,0.3035714285714286,0.8857142857142857,1.3071428571428572,2.442857142857143
5530,201152,21,CHAMPAGNE-ARDENNE,13,201152,-43.92857142857143,191.60714285714286,4.635714285714286,279.73035714285714,278.0142857142857,89.01785714285714,12942.857142857143,81.85714285714286,5.0,568.4615384615385,101228.39285714286,,,,277.50714285714287,,281.45,,276.2928571428571,,,7.8875,-10.0,0.0,0.0,-45.0,0.08571428571428572,0.19999999999999998,0.4428571428571429,0.7999999999999999,1.657142857142857
5531,201152,94,CORSE,19,201152,-14.017857142857142,147.32142857142856,2.844642857142857,281.55803571428567,276.20446428571427,70.63392857142857,31589.285714285717,33.85606060606061,2.537337662337662,1945.037162162162,102318.83928571429,,,,277.24285714285713,,285.025,,274.36428571428564,,,4.716964285714285,-10.0,0.0,0.0,-44.01934235976789,0.005357142857142857,0.02321428571428572,0.07142857142857142,0.09285714285714287,0.17142857142857143
5532,201152,43,FRANCHE-COMTE,20,201152,-38.57142857142857,196.07142857142858,2.85,277.425,275.1732142857143,86.0,17473.214285714286,77.54716981132076,4.439024390243903,1109.1666666666667,99403.21428571429,,,,274.5857142857143,,279.6928571428571,,273.15,,,5.95,-10.0,0.0,0.0,-45.0,0.12142857142857144,0.28214285714285714,0.5571428571428572,1.1428571428571428,2.3000000000000003
