iter	RMSE
0	177.7611336
1	174.8043127
2	172.0522351
3	169.5691658
4	167.1902431
5	164.9342976
6	162.8526271
7	160.8822742
8	159.1572595
9	157.5952604
10	156.0485859
11	154.6183889
12	153.3389242
13	152.1563148
14	151.0609519
15	150.0192934
16	148.9904915
17	147.9573939
18	147.1524517
19	146.4245167
20	145.6671701
21	144.8236063
22	144.1834256
23	143.6099247
24	143.0220794
25	142.4441403
26	141.9197116
27	141.2944075
28	140.8534218
29	140.403924
30	139.877904
31	139.4364812
32	138.9928168
33	138.5156711
34	137.9732937
35	137.597317
36	137.2493685
37	136.9046886
38	136.478065
39	136.227133
40	135.918834
41	135.4141935
42	135.0204446
43	134.6901443
44	134.3699948
45	134.034834
46	133.7122827
47	133.4873107
48	133.2887967
49	132.9030737
50	132.6100841
51	132.3678148
52	132.039776
53	131.8071092
54	131.6275188
55	131.4662274
56	131.2092485
57	131.0410905
58	130.7118301
59	130.4927686
60	130.2954599
61	130.0134278
62	129.8830696
63	129.5340705
64	129.3165028
65	129.13103
66	129.0092037
67	128.6718632
68	128.3999047
69	128.2049576
70	128.0800547
71	127.8484486
72	127.416197
73	127.2074136
74	127.077912
75	126.8675464
76	126.6539067
77	126.4172383
78	126.1934759
79	125.8978986
80	125.7341156
81	125.5453697
82	125.3054141
83	125.0699611
84	124.7686505
85	124.5399936
86	124.3988425
87	124.2296611
88	124.0822341
89	123.9056535
90	123.7473892
91	123.517541
92	123.3418302
93	123.1871716
94	122.9703275
95	122.8003836
96	122.5805425
97	122.4130346
98	122.2667377
99	122.1370358
100	121.9677063
101	121.7548997
102	121.682613
103	121.5142463
104	121.4177785
105	121.3192098
106	121.0235192
107	120.9119095
108	120.7559036
109	120.6173367
110	120.4789101
111	120.2593222
112	120.0722915
113	119.8240165
114	119.7163134
115	119.5618268
116	119.319651
117	119.066072
118	118.9917628
119	118.9138009
120	118.7599688
121	118.6446806
122	118.4811088
123	118.2743062
124	118.1316384
125	117.8841498
126	117.8248083
127	117.8041177
128	117.6635606
129	117.4809632
130	117.3724694
131	117.2409544
132	117.1269849
133	116.977835
134	116.8622904
135	116.7835869
136	116.5821318
137	116.44437
138	116.2670251
139	116.1172585
140	115.9786589
141	115.8977677
142	115.7543426
143	115.6017223
144	115.4460561
145	115.2493844
146	115.0930498
147	114.9089784
148	114.8579456
149	114.7201788
150	114.5764563
151	114.3954775
152	114.2365178
153	114.0604059
154	113.9427312
155	113.7791587
156	113.6555181
157	113.4755665
158	113.3541756
159	113.265152
160	113.1063989
161	112.8893551
162	112.7794689
163	112.6942524
164	112.63284
165	112.4880318
166	112.4645472
167	112.3432621
168	112.1880581
169	112.0099617
170	111.8035493
171	111.6927057
172	111.4425631
173	111.3338129
174	111.2214819
175	111.0805747
176	110.8869647
177	110.6934809
178	110.6235607
179	110.558476
180	110.4454078
181	110.3615669
182	110.2438201
183	110.1221677
184	110.008533
185	109.8562665
186	109.7996826
187	109.7287057
188	109.5848369
189	109.4382257
190	109.3730813
191	109.2455622
192	109.1816827
193	109.0183259
194	108.8973409
195	108.811608
196	108.6427832
197	108.4016397
198	108.2806684
199	108.1647631
200	108.0320037
201	107.9497119
202	107.7777982
203	107.6123005
204	107.5038382
205	107.3800064
206	107.3198805
207	107.2679092
208	107.1562032
209	106.9886789
210	106.8346562
211	106.7075189
212	106.5570004
213	106.4347408
214	106.3056816
215	106.1832277
216	106.0840347
217	105.9366241
218	105.7913524
219	105.6688791
220	105.5542727
221	105.4683071
222	105.3637743
223	105.2757366
224	105.0826018
225	104.9764278
226	104.8070523
227	104.7199092
228	104.640996
229	104.5136188
230	104.4086347
231	104.3063357
232	104.1575889
233	104.08292
234	103.9382636
235	103.8120727
236	103.7184703
237	103.5653633
238	103.4247184
239	103.3313767
240	103.200725
241	103.1267206
242	102.9899578
243	102.9141025
244	102.7974703
245	102.7069501
246	102.6225785
247	102.4830394
248	102.3342143
249	102.2620482
250	102.1780954
251	102.1050952
252	101.9916066
253	101.9561539
254	101.8687981
255	101.8084893
256	101.7413368
257	101.610828
258	101.5331718
259	101.4247956
260	101.3299944
261	101.1823842
262	101.0687642
263	100.9931257
264	100.8721968
265	100.7769821
266	100.6458671
267	100.5118055
268	100.4368385
269	100.3018052
270	100.2032862
271	100.127229
272	100.0182044
273	99.90416611
274	99.81665458
275	99.68066274
276	99.61027697
277	99.52542469
278	99.41599801
279	99.30932054
280	99.22188896
281	99.12702087
282	99.01253879
283	98.94573182
284	98.85534955
285	98.74304829
286	98.65297332
287	98.54354939
288	98.46793156
289	98.37148628
290	98.27897693
291	98.20117545
292	98.06946368
293	97.94594409
294	97.84932015
295	97.79318365
296	97.71349255
297	97.61389253
298	97.52001202
299	97.41027227
300	97.28151572
301	97.19591015
302	97.12757999
303	97.02891058
304	96.9248429
305	96.81095403
306	96.6865749
307	96.58566639
308	96.49095101
309	96.3810612
310	96.29148619
311	96.241514
312	96.15643434
313	96.10103092
314	95.96292178
315	95.86922499
316	95.76896264
317	95.6905481
318	95.56340719
319	95.45953004
320	95.40720554
321	95.32383967
322	95.20538826
323	95.09223675
324	95.01415655
325	94.91996875
326	94.82031347
327	94.71536837
328	94.63199947
329	94.55489231
330	94.4293194
331	94.37809508
332	94.33085608
333	94.26861219
334	94.18429002
335	94.09003321
336	94.03051869
337	93.92464249
338	93.86471866
339	93.78662456
340	93.65503888
341	93.52464901
342	93.45725323
343	93.330477
344	93.21838791
345	93.1350438
346	93.05852315
347	92.98812284
348	92.88405603
349	92.7562753
350	92.69725781
351	92.62134116
352	92.54678777
353	92.46666661
354	92.36159665
355	92.28780412
356	92.18583828
357	92.09227577
358	92.05734406
359	91.95203874
360	91.86340762
361	91.73068084
362	91.62913444
363	91.53403618
364	91.45558189
365	91.36371036
366	91.25922763
367	91.18182655
368	91.08720736
369	91.01306086
370	90.91385987
371	90.86622868
372	90.7737818
373	90.6600448
374	90.58892719
375	90.47593658
376	90.35974916
377	90.29773174
378	90.22019588
379	90.15121707
380	90.04655778
381	89.95806244
382	89.89545544
383	89.840902
384	89.76733989
385	89.63327334
386	89.5117169
387	89.42014115
388	89.34425211
389	89.26823884
390	89.21628257
391	89.12566315
392	89.08640125
393	89.01067586
394	88.88596064
395	88.85288129
396	88.74933642
397	88.63545755
398	88.53708218
399	88.42224556
400	88.34894496
401	88.25332255
402	88.16028316
403	88.07377872
404	88.02712193
405	87.98513731
406	87.8991141
407	87.8118285
408	87.7481206
409	87.68445366
410	87.56587232
411	87.487281
412	87.37557035
413	87.30098804
414	87.21682116
415	87.15542671
416	87.09662618
417	86.99128678
418	86.95188887
419	86.83804459
420	86.73928809
421	86.63595823
422	86.54780536
423	86.4728469
424	86.41111973
425	86.32733504
426	86.29732961
427	86.16509655
428	86.06259752
429	85.97922718
430	85.94315359
431	85.88545474
432	85.83434398
433	85.75804708
434	85.68130846
435	85.60971909
436	85.5194809
437	85.44553923
438	85.36413034
439	85.30716393
440	85.26820681
441	85.24947821
442	85.20184491
443	85.12376298
444	85.06546674
445	85.01952445
446	84.90654936
447	84.83577115
448	84.7870925
449	84.7478571
450	84.63802079
451	84.54463136
452	84.47765535
453	84.42112331
454	84.36354251
455	84.29031461
456	84.20721211
457	84.16287819
458	84.08882135
459	84.01755232
460	83.9737535
461	83.89418542
462	83.85269939
463	83.78784433
464	83.74333685
465	83.68839386
466	83.64397929
467	83.56610102
468	83.50333122
469	83.43847164
470	83.35221627
471	83.30758476
472	83.24522876
473	83.18267274
474	83.13341967
475	83.07227795
476	83.02066612
477	82.95702351
478	82.89779102
479	82.84103826
480	82.75251823
481	82.68992434
482	82.65630288
483	82.59319272
484	82.52540313
485	82.47468891
486	82.43728313
487	82.39773787
488	82.32159776
489	82.26340605
490	82.2157818
491	82.17908282
492	82.12440927
493	82.04134299
494	81.98193466
495	81.8944978
496	81.84357981
497	81.78353466
498	81.75433298
499	81.68404717
